platform_name,certificate_url,partner_name,syllabus_url,theorical_workload_h,skills,main_cert,certificate_issue_date,final_certification,personal_score,level,name
OpenCV.org,https://courses.opencv.org/certificates/6d65bea1208941ac899352423a3da0eb,,https://courses.opencv.org/courses/course-v1:AIArtGeneration+Everyone+101/course/,20,"['Generative Adversarial Networks', 'Pix2Pix', 'OpenAI', 'DALL-E', 'Midjourney', 'Stable Diffusion']",,2023-09-14,yes,98.0,beginner,AI Art Generation for Everyone
edx,https://courses.edx.org/certificates/9d94e54988c64118b5ba2212e45a3654,Harvard University,https://courses.edx.org/courses/course-v1:HarvardX+PH125.7x+1T2019/8a780aa837ce46f99ea8317c92a7a1ad/,16,"['R Programming', 'Machine Learning', 'Linear Regression']",Professional Certificate in\nData Science,2019-05-09,no,97.0,intermediate,Data Science: Linear Regression
OpenCV.org,https://courses.opencv.org/certificates/7e0fb96e887e4770a2076aa2cc22edef,,https://courses.opencv.org/courses/course-v1:OpenCV+OpenCV-106+2019_T1/course/,100,"['Deep Learning', 'Computer Vision', 'Data Augmentation', 'Segmentation']",,2024-03-06,yes,100.0,intermediate,Deep Learning with PyTorch
fun-mooc,https://lms.fun-mooc.fr/media/attestations/attestation_suivi_course-v1:inria+41026+session02_d051eb691c9c19f93b2660fbbf0e0661.pdf,INRIA,https://lms.fun-mooc.fr/courses/course-v1:inria+41026+session02/info,36,"['Machine Learning', 'Scikit-learn']",,2022-05-16,yes,100.0,intermediate,Machine learning in Python with scikit-learn
edx,https://courses.edx.org/certificates/3b4f8f7aa2204c74b473c28de3b61986,Harvard University,https://courses.edx.org/courses/course-v1:HarvardX+PH125.6x+1T2019/b3ab6a4da40a47bab1620593421e383b/,16,"['R Programming', 'Machine Learning', 'Data Mining', 'Data Analysis']",Professional Certificate in\nData Science,2019-05-05,no,96.0,intermediate,Data Science: Wrangling
edx,https://courses.edx.org/certificates/3f67c48513244373bdd38a723d03decb,Harvard University,https://courses.edx.org/courses/course-v1:HarvardX+PH125.5x+1T2019/b9413372263a4e3c9fcd3bea9ad78466/,16,['R Programming'],Professional Certificate in\nData Science,2019-05-04,no,100.0,intermediate,Data Science: Productivity Tools
edx,https://courses.edx.org/certificates/21bfcae149944f7194ffb5d5507840e0,Harvard University,https://courses.edx.org/courses/course-v1:HarvardX+PH125.4x+1T2019/aef229152b4a468fbf87bd6bfdf8f0ee/,16,"['R Programming', 'Machine Learning']",Professional Certificate in\nData Science,2019-05-02,no,100.0,intermediate,Data Science: Inference and Modeling
edx,https://courses.edx.org/certificates/8c8c25c4e1634f83a1b5141c6bfad744,Harvard University,https://courses.edx.org/courses/course-v1:HarvardX+PH125.3x+1T2019/d9e54f17939b48a994467ee035090241/,16,"['R Programming', 'Statistics']",Professional Certificate in\nData Science,2019-04-29,no,100.0,beginner,Data Science: Probability
edx,https://courses.edx.org/certificates/a7c26439497441108ac8de14ea5ebbac,Harvard University,https://courses.edx.org/courses/course-v1:HarvardX+PH125.2x+1T2019/4bc5d228d84e4f92832b9d360d7e573e/,16,"['R Programming', 'Data Visualization']",Professional Certificate in\nData Science,2019-04-26,no,100.0,beginner,Data Science: Visualization
edx,https://courses.edx.org/certificates/6f999bbf937f45f58b1d674979988fc0,Harvard University,https://courses.edx.org/courses/course-v1:HarvardX+PH125.1x+1T2019a/4bdcc373b7a944f8861a3f190c10edca/,16,['R Programming'],Professional Certificate in\nData Science,2019-04-22,no,100.0,beginner,Data Science: R Basics
